"symbol","date","price"
"Mortgage",201504,401
"Other",201112,0
"Other",201201,0
"Other",201202,0
"Other",201203,0
"Other",201204,0
"Other",201205,0
"Other",201206,0
"Other",201207,0
"Other",201208,0
"Other",201209,0
"Other",201210,0
"Other",201211,0
"Other",201212,0
"Other",201301,0
"Other",201302,0
"Other",201303,0
"Other",201304,0
"Other",201305,0
"Other",201306,0
"Other",201307,0
"Other",201308,0
"Other",201309,0
"Other",201310,0
"Other",201311,0
"Other",201312,0
"Other",201401,0
"Other",201402,0
"Other",201403,0
"Other",201404,0
"Other",201405,0
"Other",201406,0
"Other",201407,11
"Other",201408,22
"Other",201409,24
"Other",201410,29
"Other",201411,17
"Other",201412,14
"Other",201501,16
"Other",201502,21
"Other",201503,25
"Other",201504,2
"Payday",201112,0
"Payday",201201,0
"Payday",201202,0
"Payday",201203,0
"Payday",201204,0
"Payday",201205,0
"Payday",201206,0
"Payday",201207,0
"Payday",201208,0
"Payday",201209,0
"Payday",201210,0
"Payday",201211,0
"Payday",201212,0
"Payday",201301,0
"Payday",201302,0
"Payday",201303,0
"Payday",201304,0
"Payday",201305,0
"Payday",201306,0
"Payday",201307,0
"Payday",201308,0
"Payday",201309,0
"Payday",201310,0
"Payday",201311,87
"Payday",201312,107
"Payday",201401,144
"Payday",201402,120
"Payday",201403,128
"Payday",201404,117
"Payday",201405,127
"Payday",201406,105
"Payday",201407,164
"Payday",201408,161
"Payday",201409,180
"Payday",201410,153
"Payday",201411,160
"Payday",201412,148
"Payday",201501,138
"Payday",201502,177
"Payday",201503,131
"Payday",201504,20
"Prepaid",201112,0
"Prepaid",201201,0
"Prepaid",201202,0
"Prepaid",201203,0
"Prepaid",201204,0
"Prepaid",201205,0
"Prepaid",201206,0
"Prepaid",201207,0
"Prepaid",201208,0
"Prepaid",201209,0
"Prepaid",201210,0
"Prepaid",201211,0
"Prepaid",201212,0
"Prepaid",201301,0
"Prepaid",201302,0
"Prepaid",201303,0
"Prepaid",201304,0
"Prepaid",201305,0
"Prepaid",201306,0
"Prepaid",201307,0
"Prepaid",201308,0
"Prepaid",201309,0
"Prepaid",201310,0
"Prepaid",201311,0
"Prepaid",201312,0
"Prepaid",201401,0
"Prepaid",201402,0
"Prepaid",201403,0
"Prepaid",201404,0
"Prepaid",201405,0
"Prepaid",201406,0
"Prepaid",201407,38
"Prepaid",201408,49
"Prepaid",201409,59
"Prepaid",201410,60
"Prepaid",201411,59
"Prepaid",201412,71
"Prepaid",201501,78
"Prepaid",201502,93
"Prepaid",201503,79
"Prepaid",201504,4
"Student",201112,0
"Student",201201,0
"Student",201202,0
"Student",201203,524
"Student",201204,251
"Student",201205,174
"Student",201206,571
"Student",201207,240
"Student",201208,219
"Student",201209,186
"Student",201210,266
"Student",201211,226
"Student",201212,185
"Student",201301,269
"Student",201302,230
"Student",201303,241
"Student",201304,236
"Student",201305,202
"Student",201306,184
"Student",201307,248
"Student",201308,261
"Student",201309,252
"Student",201310,313
"Student",201311,268
"Student",201312,301
"Student",201401,358
"Student",201402,348
"Student",201403,402
"Student",201404,365
"Student",201405,345
"Student",201406,354
"Student",201407,358
"Student",201408,338
"Student",201409,364
"Student",201410,374
"Student",201411,339
"Student",201412,341
"Student",201501,357
"Student",201502,371
"Student",201503,428
"Student",201504,50
